"Name","Progress","ProDetail","KnowledgeType","Topic","Summary","Priority","Category","CATE_CODE","Audio","CN","EN","Author","Source"
"细节营销(Marketing Revealed: Challenging the Myths)",0,"HaveNotRead",,,0,0,"Self-development","SDP",,"NO","P","Willem Burgers",
"看清你的思维图谱 (Thinking Visually)",0.1,"HaveNotRead",,,0,0,"Self-development","SDP",,"NA","P","Malcolm Craig",
"品红酒(The taste of red wine)",0.05,"HaveNotRead",,,0,0,"Self-development","SDP",,"NA","P","Louis Guillem",
"Asking the Right Questions: A Guide to Critical Thinking 9th Edition",1,"ThroughReading",,,0,0,"Self-development","SDP",,"NA","P","M. Neil Browne",
"How To Solve It: A New Aspect of Mathematical Method",0,"HaveNotRead","Meta-Knowledge",,0,0,"Self-development","SDP",,"NA","P","George Polya",
"Thing Explainer: Complicated Stuff in Simple Words",0.02,"PartialReading",,,0,0,"Self-development","SDP",,"NA","P","Randall Munroe",
"The Monographs",0.1,"PartialReading",,,0,0,"Self-development","SDP",,"NA","P","Ben Cardall",
"The Joy of Reading: A Passionate Guide to 189 of the World's Best Authors and Their Works",0,"HaveNotRead",,,0,0,"Self-development","SDP",,"NA","P","Charles Van Doren",
"Suze Orman's Financial Guidebook: Put the 9 Steps to Work",0,"HaveNotRead",,,0,0,"Self-development","SDP",,"NO","P","Orman, Suze",
"科技想要什么 (What Technology Wants)",0.01,"RoughReading","Hard-knowledge",,0,1,"Society and Culture","SOC","Audio","P","NA","Kevin Kelly",
"失控(Out of Control)",0.01,"RoughReading","Hard-knowledge",,0,1,"Society and Culture","SOC","Audio","P","NA","Kevin Kelly",
"Connected (大连接)",0.5,"PartialReading","Hard-knowledge","Social Network",0,1,"Society and Culture","SOC",,"P","NA"," Nicholas A Christakis &  James H Fowler",
"Linked (链接)",0.01,"RoughReading","Hard-knowledge","Social Network",,,"Society and Culture","SOC","Audio","P",,"Albert-laszlo Barabasi",
"Amusing ourselves to death (娱乐至死)",0.5,"PartialReading","Hard-knowledge",,1,1,"Society and Culture","SOC","Audio","P","NA","Nell Postman",
"Empire and Communications (帝国与传播)",0.01,"RoughReading","Hard-knowledge",,,,"Society and Culture","SOC","Audio","P","NA","Harold Innis",
"Discipline and Punish (规训与惩罚)",,,"Hard-knowledge",,,,"Society and Culture","SOC","Audio","P",,"Michel Foucault ",
"第二性",,"HaveNotRead","Hard-knowledge",,0,1,"Society and Culture","SOC","Audio","P","NO",,
"不平等的代价",,"HaveNotRead","Hard-knowledge",,0,1,"Society and Culture","SOC","Audio","P","NO",,
"理性选民的神话",,"HaveNotRead",,,0,1,"Society and Culture","SOC","Audio","NA","P",,
"智能时代",,"HaveNotRead","Fastfood-knowledge",,0,1,"Society and Culture","SOC","Audio","P","P",,
"美国大城市的死于生",1,"RoughReading","Hard-knowledge",,0,0,"Society and Culture","SOC",,,,"Jane Jacobs",
"不顾诸神：现代印度的奇怪崛起",0.01,"PartialReading",,,0,0,"Society and Culture","SOC",,"NO","P",,
"图解中国茶经",0.01,"PartialReading",,,0,0,"Society and Culture","SOC",,"P","NA",,
"图说天下·国家地理系列-全球最美的100个地方 (The top 100 beautiful places in the world )",0.01,"PartialReading",,,0,0,"Society and Culture","SOC",,"P","NA",,
"话说中国大风一曲振河山",0.01,"PartialReading",,,0,0,"Society and Culture","SOC",,"P","NO",,
"客厅文库休闲读物——礼品事典 ",0.01,"PartialReading",,,0,0,"Society and Culture","SOC",,"P","NA",,
"实学简史（经典插图本）",0.01,"PartialReading",,,0,0,"Society and Culture","SOC",,"NO","P",,
"不可思议的年代(The age of the unthinkable)",0.01,"HaveNotRead",,,0,0,"Society and Culture","SOC",,"NA","P","Joshua Ramo",
"组织行为学",0.01,"PartialReading",,,0,0,"Society and Culture","SOC",,"NA","P","边一民&徐力 etc",
"文明是副产品",0.01,"HaveNotRead",,,0,0,"Society and Culture","SOC",,"NO","P","郑也夫",
"文人谈饮食",0.02,"PartialReading",,,0,0,"Society and Culture","SOC",,"NA","P",,
"诸神的争吵:国际冲突中的宗教根源",0.05,"PartialReading",,,0,0,"Society and Culture","SOC",,,,,
"酱缸——搅动看真相",0.1,"PartialReading",,,0,0,"Society and Culture","SOC",,,,"柏杨",
"性学十三讲",0.3,"PartialReading",,,0,0,"Society and Culture","SOC",,,,,
"美国政府概况(Introduction to American Government)",0.2,"PartialReading",,,0,0,"Society and Culture","SOC",,,,,
"不确定性(Uncertainty)",0.33,"PartialReading",,,0,0,"Society and Culture","SOC",,"E","P","Mitchell Small",
"The European coffeehouse culture",1,"ThroughReading",,,0,0,"Society and Culture","SOC",,"P","NA",,
"Much depends on dinner",1,"ThroughReading",,,0,0,"Society and Culture","SOC",,,,"Margaret Visser ",
"你如此需要安慰——关于爱的对话 ",1,"ThroughReading",,,0,0,"Society and Culture","SOC",,,,"李银河",
"The Chrysanthemum and the Sword ",1,"ThroughReading",,,0,0,"Society and Culture","SOC",,,,"Pauling Kent ",
"FBI教你破解身体语言",1,"ThroughReading",,,0,0,"Society and Culture","SOC",,,,,
"男人其实很忧郁",1,"ThroughReading",,,0,0,"Society and Culture","SOC",,,,,
"揭秘美国医疗制度及其相关行业",1,"ThroughReading",,,0,0,"Society and Culture","SOC",,,,,
"中国人的精神",1,"ThroughReading",,,0,0,"Society and Culture","SOC",,,,"辜鸿铭",
"书写的神话：西方文化中的文学",1,"ThroughReading",,,0,0,"Society and Culture","SOC",,,,,
"知道点：世界文化 (World Culture)",1,"ThroughReading",,,0,0,"Society and Culture","SOC",,,,,
"八大胡同捌章",1,"ThroughReading",,,0,0,"Society and Culture","SOC",,,,,
"聆听西藏-以图片的方式 ",1,"ThroughReading",,,0,0,"Society and Culture","SOC",,,,,
"京城胡同留真",1,"ThroughReading",,,0,0,"Society and Culture","SOC",,,,,
"潜规则：中国历史中的真实游戏",1,"ThroughReading",,,0,0,"Society and Culture","SOC",,,,,
"隐蔽的秩序",1,"ThroughReading",,,0,0,"Society and Culture","SOC",,,,,
"与机器赛跑",1,"ThroughReading",,,0,0,"Society and Culture","SOC",,,,,
"图说中国文化——图说中国舞蹈",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"明日之中国文化:中印欧文化十讲",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"图说天下·国家地理系列(2)-黄金典藏版.欧洲(Geography of Europe)",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"图说天下·国家地理系列(2)-黄金典藏版.亚洲大洋洲(Geography of Asia and Oceania)",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"A G-MAN'S LIFE: The FBI  Being 'Deep Throat'  and The Struggle For Honor in Washington",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,"Mark Felt",
"The Traditional Chinese Festival And Tales",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"欧洲文化史(European Culture History)",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"惊世骇俗的另类幽默经典:魔鬼辞典 (Haven't gotten the English version)",0.01,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"岩松看美国",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"中国人最易误解的文史常识",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"南怀瑾讲述--漫谈中国文化",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"林语堂文集——美国的智慧(精装)",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"林语堂文集——印度的智慧(精装)",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"茶文化系列丛书--茶香美食",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"客厅文库休闲读物——雪茄 ",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"中国民俗文化丛书——玩具（弘扬中国传统文化 建设民族精神家园） ",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"漩涡·文化系列——婚俗与中国传统文化 ",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"家庭书架——话说中国人之三教九流",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"先民的歌唱-诗经",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"阅读城市",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"中国文化杂说-茶酒文化卷",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"中华民俗文化丛书：拱手·鞠躬·跪拜",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"中华民俗文化丛书：车马·溜索·滑竿",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"中华民俗文化丛书：猜拳·博戏·对舞",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"中华民俗文化丛书：姻缘·良缘·孽缘",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"中华民俗文化丛书：姓氏·名号·别称",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"中华民俗文化丛书：掮客·行商·钱庄",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"唐宋八大家集",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"The Descent of Woman: The Classic Study of Evolution ",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,," Elaine Morgan",
"支配社会学",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,"韦伯",
"中国国民性演变历程",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,"张宏杰",
"技术元素(The Technium)",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,"Kevin Kelly",
"中国传统节日及传说",0,"HaveNotRead",,,0,0,"Society and Culture","SOC",,,,,
"The Death and Life of Great American Cities",0.01,"RoughReading","Hard-knowledge",,0,0,"Society and Culture","SOC",,,,"Jacobs J",
"Advanced R",0.01,"PartialReading",,,0,0,"Statistics","STAT",,,,"Hadley Wickham",
"Bayesian Data Analysis",0.01,"PartialReading",,,0,0,"Statistics","STAT",,,," Andrew Gelman",
"XML and Web Technologies for Data Sciences with R",0.02,"PartialReading",,,0,0,"Statistics","STAT",,,," Deborah Nolan",
"Latent Variable Modeling with R",0.01,"PartialReading",,,0,0,"Statistics","STAT",,,," W. Holmes Finch",
"Learning Spark: Lightning-Fast Big Data Analysis",0.01,"PartialReading",,,0,0,"Statistics","STAT",,,," Holden Karau",
"Natural Language Processing with Python",0.1,"PartialReading",,,0,0,"Statistics","STAT",,,,"Steven Bird",
"Statistical Analysis of Network Data with R",0.1,"PartialReading",,,0,0,"Statistics","STAT",,,,"Eric D. Kolaczyk",
"Pattern Recognition and Machine Learning 1st Edition",0.1,"PartialReading",,,0,0,"Statistics","STAT",,,,"Christopher M. Bishop",
"Design of Experiments: An Introduction Based on Linear Models",0.1,"PartialReading",,,0,0,"Statistics","STAT",,,,"Max Morris",
"R for Marketing Research and Analytics ",1,"IntensiveReading",,,0,0,"Statistics","STAT",,,," Christopher N. Chapman",
"Model Assisted Survey Sampling",0.5,"PartialReading",,,0,0,"Statistics","STAT",,,," Carl-Erik Särndal",
"时间序列",0.5,"PartialReading",,,0,0,"Statistics","STAT",,,,,
"Human side of statistical consulting",0.6,"PartialReading",,,0,0,"Statistics","STAT",,,,,
"Measure Theory and Probability Theory",0.9,"PartialReading",,,0,0,"Statistics","STAT",,,,"Krishna B. Athreya",
"概率论",1,"ThroughReading",,,0,0,"Statistics","STAT",,,,,
"Applied Predictive Modeling",1,"IntensiveReading",,,0,0,"Statistics","STAT",,,,"Max Kuhn & Kjell Johnston",
"statistical inference",1,"ThroughReading",,,0,0,"Statistics","STAT",,,,,
"Probabilistic Graphical Models: Principles and Techniques",0.05,"PartialReading",,,0,0,"Statistics","STAT",,,," Daphne Koller",
"R Packages",0.2,"PartialReading",,,0,0,"Statistics","STAT",,,," Hadley Wickham",
"Data Analysis Using Regression and Multilevel/Hierarchical Models ",0.02,"PartialReading",,,0,0,"Statistics","STAT",,,,"Andrew Gelman",
"Applied Statistics: A Handbook of Techniques ",0.5,"PartialReading",,,0,0,"Statistics","STAT",,,," Lothar Sachs",
"Advances in Longitudinal Methods in the Social and Behavioral Sciences ",0,"ReferenceBook",,,0,0,"Statistics","STAT",,,," Jeffrey R Harring",
"Handbook of Structural Equation Modeling ",0,"ReferenceBook",,,0,0,"Statistics","STAT",,,," Rick H Hoyle",
"Taming Text: How to Find Organize and Manipulate It",0,"HaveNotRead",,,0,0,"Statistics","STAT",,,,"Grant S. Ingersoll",
"Foundations of Statistical Natural Language Processing",0.01,"PartialReading",,,0,0,"Statistics","STAT",,,,"Christopher D. Manning",
"Modern Optimization with R",0,"HaveNotRead",,,0,0,"Statistics","STAT",,,," Paulo Cortez",
"Mastering Regular Expressions",0,"ReferenceBook",,,0,0,"Statistics","STAT",,,," Jeffrey E. F. Friedl",
"Regular Expressions Cookbook",0,"ReferenceBook",,,0,0,"Statistics","STAT",,,," Jan Goyvaerts",
"Regular Expression Pocket Reference: Regular Expressions for Perl  Ruby  PHP  Python C  Java and .NET ",0,"ReferenceBook",,,0,0,"Statistics","STAT",,,,"Tony Stubblebine",
"An Introduction to Statistical Learning",0.5,"PartialReading",,,0,0,"Statistics","STAT",,,,"  T. Hastie D. Witten &  G. James  Tibshirani",
"Statistical Rethinking: A Bayesian Course with Examples in R and Stan",0.1,"PartialReading",,,0,0,"Statistics","STAT",,,," Richard McElreath",
"Causality: Models Reasoning and Inference",0.01,"PartialReading",,,0,0,"Statistics","STAT",,,,"Judea Pearl",
"Sentiment Analysis",0.01,"PartialReading",,,0,0,"Statistics","STAT",,,,"Bing Liu",
