"Name","Progress","ProDetail","KnowledgeType","Topic","Summary","Priority","Category","CATE_CODE","Audio","CN","EN","Author","Source"
"心灵的七种兵器",0.01,"RoughReading","Fastfood-knowledge","Subconscious ",0,1,"Self-development","SDP","Audio","P","NA","武志红",
"孙子兵法(The Art of War)",1,"IntensiveReading","Meta-Knowledge","Tactics",0,1,"Philosophy and Psychology","PPY",,"P","NA","Sun Tzu",
"三十六计",1,"ThroughReading","Meta-Knowledge","Tactics",0,0,"Philosophy and Psychology","PPY",,"P","NA",,
"引爆流行(The Tipping Point)",1,"ThroughReading","Fastfood-knowledge","The War of Attention",0,1,"Business & Economics & Management","BEM","Audio","P","NA","Malcolm Gladwell",
"The Attention Merchants",0.01,"RoughReading","Hard-knowledge","The War of Attention",,,"Business & Economics & Management","BEM","Audio","NO","NA","Tim Wu",
"Shareology: How Sharing is Powering the Human Economy(分享时代：如何缔造影响力)",0.01,"RoughReading","Fastfood-knowledge","The War of Attention",0,1,"Business & Economics & Management","BEM","Audio","NA","E","Bryan J Kramer ",
"Known",0.01,"RoughReading","Fastfood-knowledge","The War of Attention",0,1,"Business & Economics & Management","BEM","Audio","NO","NO","Mark W.Schaefer",
"Skin Aging",0.2,"PartialReading","Hard-knowledge","Theory-Beauty",0,1,"Beauty&Health","BTH",,"P","NA","Gilchrest, Barbara A.","Self-Search"
"Cosmeceuticals and Cosmetic Ingredients",0,"HaveNotRead","Hard-knowledge","Theory-Beauty",0,1,"Beauty&Health","BTH",,"P","NA","Baumann, Leslie","Self-Search"
"A Consumer's Dictionary of Cosmetic Ingredients, 7th Edition",0,"HaveNotRead","Hard-knowledge","Theory-Beauty",0,1,"Beauty&Health","BTH",,"P","NA","Winter, Ruth","Self-Search"
"最重要的事，只有一件",0.01,"RoughReading","Fastfood-knowledge","Time Management",0,1,"Self-development","SDP","Audio","P","NO",,
"Two Awesome Hours(每天最重要的2小时)",0.01,"RoughReading","Fastfood-knowledge","Time Management",0,1,"Self-development","SDP","Audio","NO","P","Josh Davis",
"混乱(Messy: The Power of Disorder to Transform Our Lives)",0.01,"RoughReading","Fastfood-knowledge","Time Management",0,1,"Self-development","SDP","Audio","P","NO","Tim Harford",
"博恩·崔西的时间管理课",,"HaveNotRead","Fastfood-knowledge","Time Management",0,1,"Self-development","SDP","Audio","P","NA",,
"重来（rework）",1,"ThroughReading","Fastfood-knowledge","Time Management",0,0,"Self-development","SDP",,"NA","P","37Signals",
"从零开始学理财",,"HaveNotRead","Fastfood-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","P","NA",,
"理财最重要的事",0.01,"RoughReading","Fastfood-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","P","NA",,
"Buffettology(巴菲特法则)",0.01,"RoughReading","Hard-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NO","NO","Mary Buffett and David Clark",
"Poor Charlie's Almanack (穷查理宝典)",0.01,"RoughReading","Hard-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NO","NO","Charlie Munger",
"Richest Man in Babylon(巴比伦最富有的人) ",0.01,"RoughReading","Hard-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NO","NO","George S Clason",
"The Behavior Gap(理财最重要的事)",0.01,"RoughReading","Hard-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NO","NO","Carl Richards",
"The One-Page Financial Plan(99%的人一看就会的理财书)",0.01,"RoughReading","Hard-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NO","NO","Carl Richards",
"Rich Dad Poor Dad(富爸爸穷爸爸)",1,"ThroughReading","Fastfood-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NO","NO","Robert Kiyosaki and Sharon Lechter",
"Rich Dad's Guide to Investing(富爸爸投资指南)",0.01,"RoughReading","Fastfood-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NO","NO","Robert Kiyosaki and Sharon Lechter",
"投资中最简单的事",0.01,"RoughReading","Fastfood-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NO","NO","邱国鹭",
"The 9 Steps to Financial Freedom",0.01,"RoughReading","Fastfood-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","NA","P","Orman, Suze",
"学会花钱",0.01,"RoughReading","Fastfood-knowledge","Wealth Management",,,"Self-development","SDP","Audio",,,"野口真人",
"Personal Finance",0.01,"RoughReading","Hard-knowledge","Wealth Management",,,"Self-development","SDP","Audio",,,"Arthur J. Keown",
"The 100-Year Life(百岁人生)",0.01,"RoughReading","Fastfood-knowledge","What is the future?",0,1,"Society and Culture","SOC","Audio","E","NA","Andrew Scott & Lynda Gratton",
"Everybody Lies",0.01,"RoughReading","Fastfood-knowledge","What the Data Can Tell Us About Who We Really Are",,,"Data Science","DAT","Audio","NA","NO","Seth Stephens-Davidowitz",
"Poor Economics(贫穷的本质)",0.01,"RoughReading","Hard-knowledge","Why are people poor?",0,1,"Society and Culture","SOC","Audio","P","NO","Abhijit Banerjee and Esther Duflo",
"Willpower(意志力)",0.01,"RoughReading","Hard-knowledge","Will Power/Habit",0,1,"Self-development","SDP","Audio","P","NA","Roy F. Baumeister & John Tierney",
"The Willpower Instinct(自控力)",1,"ThroughReading","Hard-knowledge","Will Power/Habit",0,1,"Self-development","SDP","Audio","NA","P","Kelly McGonigal",
"The Power of Habit(习惯的力量)",0.01,"RoughReading","Hard-knowledge","Will Power/Habit",0,1,"Self-development","SDP","Audio",,,"Charles Duhigg",
"Mini Habits (微习惯)",0.01,"RoughReading","Fastfood-knowledge","Will Power/Habit",,,"Self-development","SDP","Audio",,,"Stephen Guise",
"坚持，一种可以养成的习惯",0.01,"RoughReading","Fastfood-knowledge","Will Power/Habit",,,"Self-development","SDP","Audio",,,"古川武士",
"从行动开始",0.01,"RoughReading","Fastfood-knowledge","Will Power/Habit",,,"Self-development","SDP","Audio",,,"石田淳",
"The World Atlas of Wine 7th",0.01,"ReferenceBook","Hard-knowledge","Wine",0,0,"Art","ART",,"E","NO","Hugh Johnson",
"The Clash of Civilizations (文明的冲突)",0.01,"RoughReading","Hard-knowledge","World Civilization",0,1,"Society and Culture","SOC","Audio","P","NA","Samuel Huntington",
"闲看水浒：字缝里的梁山规则与江湖世界",1,"ThroughReading",,"Worldly wisdom",0,0,"Other","OTH",,"E","P",,
"Corporate Confidential: 50 Secrets Your Company Doesn't Want You to Know---and What to Do About Them",1,"ThroughReading",,"Worldly wisdom",0,0,"Self-development","SDP",,"E","NO"," Cynthia Shapiro",
"Nice Girls Don't Get the Corner Office: 101 Unconscious Mistakes Women Make That Sabotage Their Careers",1,"ThroughReading",,"Worldly wisdom",0,0,"Self-development","SDP",,"P","NA"," Lois P Frankel",
"Getting Ahead: Three Steps to Take Your Career to the Next Level",1,"ThroughReading",,"Worldly wisdom",0,0,"Self-development","SDP",,"NA","P"," Joel A Garfinkle",
"Difficult Conversations: How to Discuss What Matters Most",0,"HaveNotRead",,"Worldly wisdom",0,0,"Self-development","SDP",,"NA","P"," Douglas Stone",
